Name,Price,Rating,Review_count,Url
"EUME Ease - 31L Premium Laptop Bag for Men, Black | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook | Travel Bag | Business Bag |Office Bag for Men & Women","₹5,599",3.8 out of 5 stars,23,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo1Nzc0MzY3NTMwNDAyNTk5OjE2OTI4MDM1NTQ6c3BfYnRmOjMwMDAyNDk5ODI1NzczMjo6MDo6&url=%2FEUME-Ease-Built-Anti-Theft-Up%2Fdp%2FB07NZBG7YX%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dbags%26qid%3D1692803554%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","₹2,699",5.0 out of 5 stars,35,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo0Mjc3NjcxNTIzNTMzNTk5OjE2OTI4MDM1NTY6c3BfYXRmX25leHQ6MzAwMDEyMzM5NDMyODMyOjowOjo&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dbags%26qid%3D1692803556%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Swiss Military Multi Utility Backpack with USB Charging Port - LBP89 and Combo Offers,"₹2,401",3.7 out of 5 stars,59,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo0Mjc3NjcxNTIzNTMzNTk5OjE2OTI4MDM1NTY6c3BfYXRmX25leHQ6MjAwOTA4NjE5ODYyOTg6OjA6Og&url=%2FSwiss-Military-Laptop-Backpack-Canvas%2Fdp%2FB09T9NS7SB%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dbags%26qid%3D1692803556%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",₹609,3.8 out of 5 stars,959,https:www.amaxon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_51?keywords=bags&qid=1692803556&sr=8-51
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,₹339,3.8 out of 5 stars,"2,547",https:www.amaxon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57/ref=sr_1_52?keywords=bags&qid=1692803556&sr=8-52
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹399,4.3 out of 5 stars,"4,240",https:www.amaxon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_53?keywords=bags&qid=1692803556&sr=8-53
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹549,3.9 out of 5 stars,"7,774",https:www.amaxon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_54?keywords=bags&qid=1692803556&sr=8-54
motherly Stylish Babies Diaper Bags for Mothers - Economical Version (Grey and Pink),"₹1,799",4.6 out of 5 stars,"5,926",https:www.amaxon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4/ref=sr_1_55?keywords=bags&qid=1692803556&sr=8-55
"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",₹305,4.1 out of 5 stars,500,https:www.amaxon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7/ref=sr_1_56?keywords=bags&qid=1692803556&sr=8-56
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,₹209,4.2 out of 5 stars,"3,528",https:www.amaxon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_57?keywords=bags&qid=1692803556&sr=8-57
Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),₹299,4.1 out of 5 stars,"2,403",https:www.amaxon.in/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTW8SP/ref=sr_1_58?keywords=bags&qid=1692803556&sr=8-58
